"Duration","Start Time","Profile Name","Country","Bookmark","Latest Bookmark","Supplemental Video Type","Attributes","Device Type","Title"
"00:06:58","2025-07-03 15:25:49","Eri","DE (Germany)","00:00:00","00:00:00","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The One-At-A-Timing (Episode 9)"
"00:29:35","2025-07-03 14:56:05","Eri","DE (Germany)","00:00:00","00:00:00","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Short Rib (Episode 8)"
"00:30:28","2025-07-03 14:25:22","Eri","DE (Germany)","00:30:46","00:30:46","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Surprises (Episode 7)"
"00:30:03","2025-07-03 13:54:48","Eri","DE (Germany)","00:30:45","00:30:45","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Bad Hearer (Episode 6)"
"00:00:23","2025-07-03 07:38:17","Eri","GB (United Kingdom)","00:00:23","00:00:23","HOOK","Autoplayed: user action: None; ","Apple iPhone 14 Pro Max iPhone","Season 7 Act 2 Conflict Clip: Grace and Frankie"
"00:24:39","2025-07-03 07:09:23","Eri","GB (United Kingdom)","00:24:35","00:24:35","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Rescue (Episode 2)"
"00:25:51","2025-07-03 06:44:40","Eri","GB (United Kingdom)","00:30:33","00:30:33","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Newlyweds (Episode 1)"
"00:14:27","2025-06-23 17:04:44","Jose","US (United States)","00:20:34","00:20:34","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Highly Re-Greta-Ble (Episode 2)"
"00:28:42","2025-06-21 14:08:02","Eri","DE (Germany)","00:28:58","00:28:58","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Funky Walnut (Episode 4)"
"00:04:00","2025-06-20 19:59:53","Eri","GB (United Kingdom)","00:04:42","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Newlyweds (Episode 1)"
"00:27:21","2025-06-20 19:33:02","Eri","GB (United Kingdom)","00:27:57","00:27:57","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Alternative (Episode 13)"
"00:29:55","2025-06-20 19:02:01","Eri","GB (United Kingdom)","00:30:00","00:30:00","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Wedding (Episode 12)"
"00:25:11","2025-06-20 18:37:49","Eri","GB (United Kingdom)","00:30:18","00:30:18","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 5: The Video (Episode 11)"
"00:26:14","2025-06-20 00:21:42","Eri","GB (United Kingdom)","00:26:48","00:26:48","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Trophy Wife (Episode 3)"
"00:06:11","2025-06-20 00:21:42","Eri","GB (United Kingdom)","00:30:48","Not latest view","","","Apple iPhone 14 Pro Max iPhone","Grace and Frankie: Season 6: The Rescue (Episode 2)"
"00:00:04","2025-06-19 01:20:39","Jose","US (United States)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Animal Kingdom: Season 1_hook_primary"
"00:00:04","2025-06-19 01:20:13","Jose","US (United States)","00:00:04","00:00:04","HOOK","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","How I Met Your Mother: Season 5_hook_primary_16x9"
"00:00:15","2025-06-19 01:19:47","Jose","US (United States)","00:00:15","00:00:15","","Autoplayed: user action: None; ","Google Sabrina ATV Set Top Box","Sirens: Limited Series: Exile (Episode 1)"
"00:00:17","2025-06-19 01:19:05","Jose","US (United States)","00:00:17","Not latest view","","","Google Sabrina ATV Set Top Box","Sirens: Limited Series: Exile (Episode 1)"
"00:01:20","2025-06-19 01:17:40","Jose","US (United States)","00:01:20","00:01:20","HOOK","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","Limited Series Clip 5: Sirens"
"00:06:29","2025-06-19 01:10:43","Jose","US (United States)","00:06:34","Not latest view","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Highly Re-Greta-Ble (Episode 2)"
"00:01:05","2025-06-19 01:09:11","Jose","US (United States)","00:46:04","00:46:04","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Fullest House (Episode 1)"
"00:00:12","2025-06-19 01:08:39","Jose","US (United States)","00:03:30","Not latest view","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Highly Re-Greta-Ble (Episode 2)"
"00:21:05","2025-06-19 00:38:44","Jose","US (United States)","00:46:03","Not latest view","","","Google Sabrina ATV Set Top Box","FUBAR: Season 2: Fullest House (Episode 1)"
"00:00:20","2025-06-19 00:38:21","Jose","US (United States)","00:00:20","00:00:20","HOOK","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","Season 1 Main Character Intro Clip 2: FUBAR (OS)"
"00:28:54","2025-06-18 14:41:16","Jose","US (United States)","00:34:24","00:34:24","","","Apple iPad Pro 11 M4 Wi/Ce iPad","White Collar: Season 2: Point Blank (Episode 9)"
"00:15:32","2025-06-17 16:48:20","Jose","US (United States)","00:06:00","Not latest view","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 2: Point Blank (Episode 9)"
"00:10:30","2025-06-17 16:37:43","Jose","US (United States)","00:42:41","00:42:41","","Autoplayed: user action: User_Interaction; ","Google Sabrina ATV Set Top Box","White Collar: Season 2: Company Man (Episode 8)"
